ordinal	postdate	pid	content_length	source_url	preview
0	2026-01-12 09:05	0	412	https://bbs.nga.cn/read.php?tid=45974302	我重申一下 我唯一就在这里开帖子聊，没有任何别的渠道，也没有任何账号分享，平时不看消息，除非有深度的研究分享。 所说的仅仅是我自己的个人看法和操作，不做任何的指导 带教等等。 如果你们有逻辑的分享可以讨论，不单纯讨论个股。 旧的帖子在https://bbs.nga.cn/read.php?tid=43098323 https://bbs.nga.cn/read.php?tid=45922084 里面有一些经验分享。但不重要 让我们坚持科技是第一生产力，人才是第一资源，创新是第
1	2026-01-12 09:05	854270131	16	https://bbs.nga.cn/read.php?pid=854270131&opt=128	先拿一个前排编辑
2	2026-01-12 09:12	854271001	331	https://bbs.nga.cn/read.php?pid=854271001&opt=128	Reply[/pid] Post by xiaomiwang1 (2026-01-12 09:07): 狼大，仓位之前因为贪心想吃差价减了太多的话，需要在震荡里补齐仓位吗，是不是不可以为了贪等太深的回踩 低开 缩量 急跳水 拉回平盘附近 盘中再次翻绿，这种就是可以打进去了 这种就是比较确定性的机会了 其他的话可以通过不断的日内做T把仓位打进去 或者和我一样 把半导体的钱出去航天和AI打野，相当于多赚5个点10个点 然后赚完直接回去，等于又把半导体成本拉低5个点。 所以能不能买
3	2026-01-12 09:53	854276018	34	https://bbs.nga.cn/read.php?pid=854276018&opt=128	刚才指数盘中翻绿了 有没有加一点设备
4	2026-01-12 09:56	854276336	67	https://bbs.nga.cn/read.php?pid=854276336&opt=128	Reply[/pid] Post by 年轻的z老头 (2026-01-12 09:53): 狼大，请问下航天现在这么涨还会有二波三波的预期吗？或者说会把二波三波的高度空间挤压掉吗？ 第一波都没完 走完了后才能算幅度 每一波都是分开的 万一调整很深呢。
5	2026-01-12 09:58	854276564	120	https://bbs.nga.cn/read.php?pid=854276564&opt=128	早说一次 航天和AI应用按每天都是最后一天来做。板块出现问题就出场 不然就拿着 但是半导体是我的趋势长线，打野的钱一定会回去的。
6	2026-01-12 10:12	854278457	272	https://bbs.nga.cn/read.php?pid=854278457&opt=128	量在放不是很正常。你们看看是不是4006在确认的那几天不断放量 确认后加速放量 这是市场踏空资金在确认后的进场条件，达成条件 然后进场，这是一个非常正常的事情。 只是现在进场的资金全冲了AI应用和航天，那旧时代的海外链没有消息刺激的情况下被暂时放弃了而已 今天的利好就是 鲍鲍被查 全球迎接 大放水时代
7	2026-01-12 10:34	854281607	98	https://bbs.nga.cn/read.php?pid=854281607&opt=128	中场有获利卖盘是正常的，只要买盘不减少就行，外面踏空的和场内没涨踏空这15连阳的不在少数。有量就有价
8	2026-01-12 11:07	854286576	52	https://bbs.nga.cn/read.php?pid=854286576&opt=128	Reply[/pid] Post by kaiserDu (2026-01-12 11:00): 狼大，半岛铁盒目前看盘中调整的概率好大，没啥大利空的话，感觉1.7左右短期够呛啊~ 我说了 利用盘中大盘带下来的机会做正T 要么就平躺。
9	2026-01-12 11:10	854286995	75	https://bbs.nga.cn/read.php?pid=854286995&opt=128	Reply[/pid] Post by aec2018 (2026-01-12 11:02): 狼大，怎么看北方稀土。打算拿100个做长线 现在我不看稀土 我之前用的BYD换的稀土目前都25%以上盈利了 这些东西我不动的
10	2026-01-12 11:14	854287734	19	https://bbs.nga.cn/read.php?pid=854287734&opt=128	Reply[/pid] Post by 躺平任嘲 (2026-01-12 11:11): 狼大，如果正式要进入大放水时代的话，有色这边是不是也可以逢低买入ETF同样作为长持开躺的逻辑呢？ 有色还有低位？
11	2026-01-12 11:15	854287828	47	https://bbs.nga.cn/read.php?pid=854287828&opt=128	Reply[/pid] Post by 萌萌521121 (2026-01-12 11:14): 报告狼大，稀土鸡已经25个点，稀土游戏都是按照狼大说的长拿。 嗯 稀土 游戏 不要看他就对了 看了什么时候都想卖
12	2026-01-12 11:27	854289911	83	https://bbs.nga.cn/read.php?pid=854289911&opt=128	Reply[/pid] Post by 躺平任嘲 (2026-01-12 11:18): ETF不是个股啊，如果说这都算高位的话，那半导体也是高位，那为何放水逻辑不能适用于同样受益的有色这边呢，求解 我没说放水逻辑不适合有色啊 有色肯定是第一受益 但是我做期货那边的 我不做股票的有色
13	2026-01-12 12:32	854298595	301	https://bbs.nga.cn/read.php?pid=854298595&opt=128	现在你们是不是怕加速赶顶 然后怕自己手里面的票和大盘一起泥沙俱下？怕自己的票涨的时候涨不过大盘，也没拿目前的两大题材，不敢追的同时还怕暴跌？ 如果是的话我收盘后或者晚上复盘了和你们说一下这种时候的对应方式 然后还有你们是不是一到这种时候就忘记之前分享过的盘中做T策略了？就是急 虽然不知道急什么 但是就是很焦虑 。
14	2026-01-12 12:42	854299741	155	https://bbs.nga.cn/read.php?pid=854299741&opt=128	Reply[/pid] Post by 飞火扑流萤 (2026-01-12 12:39): 狼大现在就说吧 下午收盘完怕来不及了 看吧 我就说了 现在你们就是急 急什么呢 指数支撑破位了吗 从放量转缩量了吗 高标板块爆了吗 期指空单猛加了吗 30年债放量暴涨了吗 券商砸破位了吗 有什么迹象表明要崩了吗
